open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754179200000,0.190940,0.193980,0.188510,0.193500,735197932,1754182799999,140627099.892840,227146,367237787,70278103.507870,0
1754182800000,0.193490,0.195320,0.192830,0.194530,364782776,1754186399999,70813118.851320,124895,200037241,38849835.972740,0
1754186400000,0.194530,0.196070,0.194500,0.195810,289681152,1754189999999,56627393.680630,76773,141625215,27685709.280440,0
1754190000000,0.195810,0.196380,0.195190,0.195690,152230350,1754193599999,29806522.670400,52795,64002230,12533934.606600,0
1754193600000,0.195690,0.196090,0.194870,0.195560,148934339,1754197199999,29092680.297410,47624,65871664,12868642.657210,0
1754197200000,0.195560,0.196270,0.195260,0.195520,111182528,1754200799999,21762520.828770,42273,57132477,11186204.309210,0
1754200800000,0.195520,0.195930,0.195000,0.195630,97636842,1754204399999,19081082.273260,34472,42892770,8383119.133390,0
1754204400000,0.195630,0.196840,0.195540,0.196190,192368730,1754207999999,37744490.636000,56644,98834427,19397897.882810,0
1754208000000,0.196200,0.196900,0.195460,0.196350,173082142,1754211599999,33965867.274060,46058,88411664,17350154.506440,0
1754211600000,0.196350,0.196940,0.195600,0.196820,112075929,1754215199999,22005311.282430,38721,67026900,13162204.512150,0
1754215200000,0.196830,0.197820,0.196730,0.197350,184079795,1754218799999,36339179.777500,52572,98015924,19349666.256950,0
1754218800000,0.197350,0.199440,0.197290,0.197690,363668229,1754222399999,72134729.531780,97847,210015119,41665256.505720,0
1754222400000,0.197700,0.199000,0.197060,0.198470,200350216,1754225999999,39679345.226570,66549,96054288,19024864.137450,0
1754226000000,0.198470,0.199220,0.197660,0.198250,202381584,1754229599999,40142927.606890,58649,94172713,18683202.968230,0
1754229600000,0.198240,0.198850,0.196670,0.198480,263859691,1754233199999,52169147.617120,83795,124540538,24626722.352620,0
1754233200000,0.198470,0.199050,0.197570,0.198840,224546697,1754236799999,44572293.989510,68575,115468404,22924626.103680,0
1754236800000,0.198850,0.199990,0.197750,0.199710,250849246,1754240399999,49885433.282170,61641,135836831,27019612.697890,0
1754240400000,0.199700,0.200220,0.198910,0.199450,155873316,1754243999999,31079680.518550,52724,73896904,14739079.004320,0
1754244000000,0.199450,0.199680,0.198320,0.199300,146981783,1754247599999,29236870.694110,50882,70205940,13967301.848440,0
1754247600000,0.199290,0.200000,0.198550,0.198840,174257568,1754251199999,34715334.601970,55275,98322649,19584503.177970,0
1754251200000,0.198840,0.198960,0.197880,0.198710,117044100,1754254799999,23215667.959800,48063,52500535,10414763.270530,0
1754254800000,0.198710,0.199490,0.198370,0.199320,76669026,1754258399999,15252211.065330,33347,39064150,7772012.633430,0
1754258400000,0.199320,0.199880,0.197840,0.199060,146448837,1754261999999,29085885.743870,55869,80395068,15966768.336950,0
1754262000000,0.199070,0.200400,0.198400,0.198660,164340771,1754265599999,32764138.982540,66592,78108996,15573094.557090,0
