open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1600063200000,3.2002,4.91,3.2002,3.3666,426044,1600070399999,1430646.2821,7061,155718,524259.7813,0
1600070400000,3.3663,3.565,3.2161,3.2755,1116835,1600077599999,3760261.9821,14923,473098,1599063.8956,0
1600077600000,3.2753,3.46,3.25,3.3799,619179,1600084799999,2073575.2313,8255,280723,941764.2186,0
1600084800000,3.3748,3.49,3.3607,3.4485,513408,1600091999999,1754479.1163,7479,228683,781682.5379,0
1600092000000,3.4501,3.4866,3.3026,3.3795,525314,1600099199999,1773325.6082,6389,226869,765905.2191,0
1600099200000,3.3803,3.4228,3.3056,3.3249,384464,1600106399999,1293528.345,4948,199362,670036.2702,0
1600106400000,3.3247,3.36,3.2224,3.3009,492884,1600113599999,1624962.9737,7461,226394,747937.398,0
1600113600000,3.3012,3.3471,3.24,3.2695,365531,1600120799999,1197346.2314,4594,162973,533763.3194,0
1600120800000,3.2694,3.3009,3.2526,3.2661,344512,1600127999999,1128658.7239,3782,155096,507764.9929,0
1600128000000,3.2629,3.3096,3.244,3.2727,286162,1600135199999,935687.4297,3408,143982,470177.6712,0
1600135200000,3.2726,3.3258,3.2446,3.255,345829,1600142399999,1134453.9754,3937,161378,529525.0348,0
1600142400000,3.2563,3.2758,3.2306,3.2572,328766,1600149599999,1069962.885,3405,185250,602949.8702,0
1600149600000,3.2577,3.2577,3.1449,3.1807,397059,1600156799999,1275204.1651,4816,174520,561137.395,0
1600156800000,3.1807,3.2376,3.125,3.221,368076,1600163999999,1167334.0796,4288,189039,599727.0037,0
1600164000000,3.2208,3.2468,3.1726,3.2371,324064,1600171199999,1040442.4893,3794,200217,642740.3834,0
1600171200000,3.2385,3.3149,3.1969,3.2176,377951,1600178399999,1234011.1095,4876,170635,556455.1097,0
1600178400000,3.2186,3.23,2.96,3.0758,484468,1600185599999,1496243.3478,6566,231443,716587.1574,0
1600185600000,3.0761,3.1177,3.0597,3.1006,319215,1600192799999,985486.9601,4233,101738,314090.0959,0
1600192800000,3.0999,3.1063,3.019,3.0389,319928,1600199999999,977923.5462,3675,195820,598902.0029,0
1600200000000,3.0383,3.1192,3.0035,3.0234,346014,1600207199999,1052358.3197,3947,118259,359985.1372,0
1600207200000,3.0233,3.0376,2.9001,2.9332,420773,1600214399999,1252602.7311,5486,173316,516796.359,0
1600214400000,2.9299,2.9299,2.5011,2.7444,655017,1600221599999,1748787.1605,8738,311356,828676.9999,0
1600221600000,2.7442,2.7752,2.6677,2.6918,366456,1600228799999,991688.634,4278,163009,441881.1727,0
1600228800000,2.6915,2.7615,2.645,2.65,381266,1600235999999,1027967.3525,4644,135240,364445.4754,0
1600236000000,2.65,2.7527,2.6106,2.737,474010,1600243199999,1266776.0627,6055,216469,578857.4774,0
1600243200000,2.7431,2.7507,2.6338,2.6666,414164,1600250399999,1111658.7848,5197,204061,547630.933,0
1600250400000,2.6703,2.682,2.5102,2.587,520387,1600257599999,1350897.4595,7995,241359,627664.9558,0
1600257600000,2.5811,2.6186,2.5414,2.5564,468927,1600264799999,1208543.1228,6059,199906,515875.4357,0
1600264800000,2.5525,2.5802,2.4316,2.5341,733486,1600271999999,1847017.3407,11426,334420,841872.7275,0
1600272000000,2.5362,2.6654,2.5094,2.5308,485029,1600279199999,1257395.167,6028,245309,636843.5315,0
1600279200000,2.5312,2.5828,2.4901,2.5302,415926,1600286399999,1054438.261,5023,194060,492094.1,0
1600286400000,2.5239,2.5662,2.5115,2.553,365381,1600293599999,929201.9216,4403,179603,456334.4469,0
1600293600000,2.5529,2.5739,2.4844,2.5395,418079,1600300799999,1062460.5243,4799,143019,363258.8526,0
1600300800000,2.54,2.7,2.5134,2.625,561692,1600307999999,1469973.0962,7668,250323,656236.7003,0
1600308000000,2.6255,2.6345,2.4696,2.4836,494340,1600315199999,1263517.9972,6413,223437,571727.851,0
1600315200000,2.4836,2.587,2.4677,2.5663,440624,1600322399999,1109330.3681,4930,217122,547559.9807,0
1600322400000,2.5666,2.6025,2.4933,2.5296,439002,1600329599999,1111582.065,5563,169788,429893.3323,0
1600329600000,2.5296,2.5794,2.3912,2.4895,616964,1600336799999,1525817.1554,7866,288170,714423.7203,0
1600336800000,2.4895,2.553,2.3569,2.5396,629627,1600343999999,1552718.9564,7959,311164,769079.3383,0
1600344000000,2.5395,2.6855,2.5056,2.5694,687676,1600351199999,1775613.3519,9977,344736,889807.4542,0
1600351200000,2.5694,2.63,2.5342,2.6094,475250,1600358399999,1232617.2466,5870,218088,566314.8725,0
1600358400000,2.61,2.7728,2.6004,2.724,574958,1600365599999,1537760.0334,7438,301334,805650.5746,0
1600365600000,2.7226,2.7813,2.6868,2.7698,400039,1600372799999,1094301.7925,4823,192265,526049.7181,0
1600372800000,2.7688,2.936,2.727,2.9239,611202,1600379999999,1731052.3017,9390,330087,936669.7114,0
1600380000000,2.9248,2.9313,2.7798,2.8855,567964,1600387199999,1626273.7965,7559,263726,756310.5425,0
1600387200000,2.8821,2.9604,2.724,2.761,588143,1600394399999,1660579.7482,7528,284412,804217.0391,0
1600394400000,2.7615,2.8988,2.7498,2.8813,434483,1600401599999,1232730.473,5690,210768,597395.514,0
1600401600000,2.8825,2.897,2.7942,2.8853,412096,1600408799999,1170859.0772,5142,188047,534273.6294,0
1600408800000,2.887,2.9972,2.8621,2.951,525073,1600415999999,1535700.3007,6763,277921,813477.3022,0
1600416000000,2.9519,2.995,2.908,2.9887,435518,1600423199999,1286298.0469,5858,226481,668863.8498,0
1600423200000,2.9889,3.15,2.982,3.0668,744112,1600430399999,2289732.1041,10071,396697,1220926.5069,0
1600430400000,3.0668,3.1331,3.0186,3.0242,520940,1600437599999,1608660.4315,6944,257855,797159.3676,0
1600437600000,3.024,3.0622,2.7989,2.8959,822899,1600444799999,2424197.7275,11894,387064,1141983.2542,0
1600444800000,2.9047,2.9973,2.8212,2.8417,513827,1600451999999,1494983.2798,7048,268027,780920.9069,0
1600452000000,2.8429,3.1217,2.8004,3.1152,473788,1600459199999,1387715.5884,6809,265851,783492.8387,0
1600459200000,3.1161,3.1414,3.0242,3.1355,450635,1600466399999,1395760.8817,6082,235251,729339.6187,0
1600466400000,3.1406,3.1438,3.0276,3.108,389282,1600473599999,1204586.6979,4739,178736,553241.7865,0
1600473600000,3.108,3.2431,3.0647,3.1804,534994,1600480799999,1682418.7232,7191,283917,892130.9213,0
1600480800000,3.1809,3.2509,3.0712,3.1087,470131,1600487999999,1486692.8375,6253,223151,706645.7549,0
1600488000000,3.1088,3.134,3.0622,3.1103,368596,1600495199999,1140007.0902,4430,181219,560274.8183,0
