open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754438400000,163.9900,164.0600,161.6200,162.7500,1124093.40,1754445599999,182938859.514380,178253,552256.58,89864369.441500,0
1754445600000,162.7500,163.2200,161.0400,161.7600,899735.77,1754452799999,145862009.494700,161145,405013.68,65684653.547200,0
1754452800000,161.7600,164.7100,161.1500,164.1500,1471445.20,1754459999999,240149421.909680,202156,745827.29,121740239.607080,0
1754460000000,164.1600,164.5300,163.3000,164.1600,829112.68,1754467199999,135909381.062300,132181,405775.25,66525639.728600,0
1754467200000,164.1600,164.4800,162.6300,163.9100,1214556.99,1754474399999,198726119.522200,187001,568067.54,92952598.284700,0
1754474400000,163.9000,164.5600,162.8000,164.1000,925630.88,1754481599999,151530598.506400,160305,440270.19,72079150.544100,0
1754481600000,164.1000,164.6300,162.5000,164.1800,2169265.46,1754488799999,355295457.868600,273559,1100703.59,180323482.727100,0
1754488800000,164.1800,169.4700,163.8600,168.9600,3962348.36,1754495999999,660891832.153120,507755,2106398.83,351365024.196540,0
1754496000000,168.9600,169.4500,167.0800,169.0800,1705616.62,1754503199999,286858940.120580,217610,797783.59,134157835.033400,0
1754503200000,169.0700,169.8800,167.8700,168.7300,1600861.24,1754510399999,270258125.096700,230838,780146.78,131706214.951400,0
1754510400000,168.7400,168.7900,167.2500,167.9900,683785.62,1754517599999,114916304.552780,101565,308644.79,51874563.952800,0
1754517600000,167.9900,168.4600,167.7400,168.0300,491410.20,1754524799999,82619659.586200,76003,205657.91,34577051.639200,0
