open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735689600000,189.2200,192.5800,189.0000,190.3100,1306098,1735703999999,249435960.6400,171466,690982,131948643.7710,0
1735704000000,190.3100,190.5500,189.2500,189.9600,876927,1735718399999,166480607.5560,120206,444628,84416793.6540,0
1735718400000,189.9700,191.7400,187.8200,191.2200,1470127,1735732799999,278905402.9650,174706,683656,129752097.7900,0
1735732800000,191.2300,192.0900,189.0200,191.8100,1451287,1735747199999,276608950.8310,186492,740835,141212696.8210,0
1735747200000,191.8200,193.8600,189.1200,193.0300,1579358,1735761599999,302306694.2630,213621,794765,152164338.5030,0
1735761600000,193.0200,195.2900,193.0200,194.2200,1293949,1735775999999,251283921.5750,179376,650115,126265985.6760,0
1735776000000,194.2200,199.6300,193.3400,198.4600,2365121,1735790399999,466424185.5630,301989,1179406,232629326.2510,0
1735790400000,198.4700,206.8400,198.4700,205.8400,3654219,1735804799999,745661074.4620,407124,1998033,407489015.6360,0
1735804800000,205.8400,208.7800,205.6200,208.4300,2419782,1735819199999,501251248.8380,260973,1350051,279724014.7330,0
1735819200000,208.4200,210.4700,205.3700,206.6800,3655193,1735833599999,759679433.2730,404972,1892131,393431231.1050,0
1735833600000,206.6700,208.9900,204.6200,206.6200,2236602,1735847999999,462272519.8020,268183,1101592,227738407.8990,0
1735848000000,206.6200,208.3800,205.1400,208.1700,1157434,1735862399999,239425907.0420,144539,583966,120793850.2010,0
1735862400000,208.1700,208.3800,205.5100,207.9300,1130723,1735876799999,234069591.1690,160665,567549,117477141.9890,0
1735876800000,207.9400,209.8700,206.9300,207.8600,2070415,1735891199999,431342753.9750,230817,996880,207782347.6250,0
1735891200000,207.8600,214.9900,207.4500,214.3900,3345969,1735905599999,706838238.7480,348469,1783650,376892913.3420,0
1735905600000,214.3800,218.5600,211.9200,217.2600,3736719,1735919999999,804365848.3460,421805,2020684,435080336.2420,0
1735920000000,217.2700,219.6900,216.3200,216.9800,2140225,1735934399999,466112551.3270,269514,1080490,235358900.0540,0
1735934400000,216.9900,217.9300,215.7000,217.9100,1217694,1735948799999,263747886.5230,152058,574581,124501707.7030,0
1735948800000,217.9200,218.0800,215.5800,216.8800,1254487,1735963199999,272130686.3530,165756,577176,125224592.3990,0
1735963200000,216.8900,217.8900,215.4100,216.6200,1003855,1735977599999,217628052.4050,123906,493357,106998377.9910,0
1735977600000,216.6100,216.6200,214.3000,216.3600,1216516,1735991999999,262306282.7290,147908,590273,127296793.2860,0
1735992000000,216.3600,217.5800,213.4500,214.2400,1966601,1736006399999,423997591.7140,220863,948370,204465131.7500,0
1736006400000,214.2400,215.8800,213.6100,215.4700,897811,1736020799999,192935879.6800,123649,460739,99005547.9530,0
1736020800000,215.4800,217.1900,215.3000,216.5600,756538,1736035199999,163630196.8350,98151,401635,86867147.1540,0
1736035200000,216.5700,218.8100,215.1700,217.8300,1298634,1736049599999,281762782.7500,159854,610556,132499949.7160,0
1736049600000,217.8300,218.9800,215.8300,216.3500,1098447,1736063999999,238598074.1960,137274,522627,113550272.9770,0
1736064000000,216.3500,216.4400,212.8000,213.8500,1574085,1736078399999,337161739.4750,168337,711230,152324277.1700,0
1736078400000,213.8400,214.5400,211.5400,213.4600,1760550,1736092799999,374824104.3200,191321,876541,186600817.4270,0
1736092800000,213.4600,214.2100,211.2700,212.7000,1000551,1736107199999,212716138.1660,135323,488692,103924403.4630,0
1736107200000,212.7000,214.4300,212.4300,213.3000,710872,1736121599999,151779225.9360,109071,355424,75891767.1520,0
1736121600000,213.3100,216.8700,211.4100,215.5000,1912938,1736135999999,410219113.5090,237293,949698,203574426.5640,0
1736136000000,215.5000,216.8000,213.7700,215.1300,1369902,1736150399999,294873824.3060,184179,667346,143678815.1680,0
1736150400000,215.1300,216.1800,213.1000,216.1700,1198271,1736164799999,257349071.2700,150937,556672,119573736.0120,0
1736164800000,216.1800,222.0000,215.6400,221.5100,3950633,1736179199999,865434707.1850,420750,1995541,437179025.7250,0
1736179200000,221.5200,223.1400,217.2700,219.9000,2343942,1736193599999,515819969.9360,262506,1145797,252201348.9080,0
1736193600000,219.9000,220.3200,217.4000,218.1100,983156,1736207999999,214656066.3130,131362,480652,104947533.4820,0
1736208000000,218.1000,219.0400,216.0900,217.2700,1097173,1736222399999,238635113.6170,145226,502431,109291210.9440,0
1736222400000,217.2700,217.3700,215.3300,215.9700,809357,1736236799999,174938031.0360,106969,381812,82539549.8390,0
