open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1690200000000,2.6478000,2.6557000,2.3910000,2.4534000,27362408,1690207199999,68947404.0078000,237771,14430811,36368883.0496000,0
1690207200000,2.4534000,2.4696000,2.1510000,2.2274000,50524217,1690214399999,113843139.1345000,401644,24991620,56325379.2819000,0
1690214400000,2.2262000,2.3535000,2.1149000,2.1822000,36199217,1690221599999,80807763.6948000,348681,17792780,39764142.7594000,0
1690221600000,2.1823000,2.2537000,2.1330000,2.1479000,17759534,1690228799999,38985233.9750000,207082,9089167,19968822.8589000,0
1690228800000,2.1479000,2.1724000,1.9942000,2.0945000,29439891,1690235999999,61010975.4730000,270557,14241303,29529730.1399000,0
1690236000000,2.0945000,2.2275000,2.0690000,2.1592000,27059083,1690243199999,57686054.4664000,222846,13885625,29637607.1687000,0
1690243200000,2.1589000,2.2688000,2.0856000,2.1242000,27099042,1690250399999,58947654.2534000,219588,13545059,29473975.3496000,0
1690250400000,2.1240000,2.1610000,1.8290000,1.9622000,40646246,1690257599999,79314896.9908000,300303,19919048,38848969.5003000,0
1690257600000,1.9622000,2.1000000,1.9220000,2.0503000,28302603,1690264799999,56447404.9934000,222387,14801273,29538990.3722000,0
1690264800000,2.0503000,2.0900000,1.9600000,2.0036000,24886860,1690271999999,50221653.0347000,194659,12287563,24811976.3824000,0
1690272000000,2.0033000,2.0417000,1.9353000,2.0140000,23641967,1690279199999,47389866.7984000,198735,12360220,24789604.4241000,0
1690279200000,2.0136000,2.1900000,1.9924000,2.1346000,39416557,1690286399999,83066892.4935000,332768,20541875,43312732.8610000,0
1690286400000,2.1337000,2.2630000,2.0850000,2.2424000,42438378,1690293599999,92238648.4862000,347315,22688711,49346217.1301000,0
1690293600000,2.2422000,2.4586000,2.2100000,2.2746000,119611800,1690300799999,279668925.0559000,771096,61124906,142977165.3348000,0
1690300800000,2.2745000,2.3560000,2.1600000,2.1845000,55659562,1690307999999,125033095.7884000,450937,28179348,63357362.5583000,0
1690308000000,2.1855000,2.2562000,2.1650000,2.2064000,18684981,1690315199999,41219983.8159000,188771,9777584,21583474.3780000,0
1690315200000,2.2063000,2.3450000,2.1827000,2.2564000,27431651,1690322399999,62158096.8862000,278399,14096170,31940743.1835000,0
1690322400000,2.2560000,2.3150000,2.2222000,2.2560000,15826172,1690329599999,35903700.7699000,164823,7865119,17851164.2047000,0
1690329600000,2.2559000,2.4000000,2.2230000,2.3186000,32751663,1690336799999,76167427.0795000,274586,16675182,38785578.8814000,0
1690336800000,2.3186000,2.5077000,2.2857000,2.4658000,46253415,1690343999999,111914925.0733000,396013,24571715,59482889.9513000,0
1690344000000,2.4655000,2.5569000,2.4012000,2.5010000,48700264,1690351199999,120280344.6866000,409071,25043422,61920707.0737000,0
1690351200000,2.5009000,2.5161000,2.3360000,2.3813000,42179866,1690358399999,101522574.5561000,347972,20311802,48917209.8621000,0
1690358400000,2.3816000,2.3930000,2.3140000,2.3532000,28917112,1690365599999,68265086.3507000,261033,14852659,35079798.1206000,0
1690365600000,2.3533000,2.4410000,2.3040000,2.3402000,31467856,1690372799999,74788979.9411000,283032,15788487,37558342.5514000,0
1690372800000,2.3403000,2.3540000,2.2170000,2.2563000,37962563,1690379999999,86846500.7531000,339646,18296959,41879789.0701000,0
1690380000000,2.2563000,2.3234000,2.2381000,2.2980000,17360896,1690387199999,39464297.6242000,186894,8936079,20324804.5242000,0
1690387200000,2.2979000,2.3222000,2.2420000,2.2779000,14881438,1690394399999,33973659.7490000,159261,7470366,17064696.2447000,0
1690394400000,2.2779000,2.3650000,2.2714000,2.3262000,17070797,1690401599999,39612407.6809000,165957,8886254,20628129.6302000,0
1690401600000,2.3262000,2.3844000,2.1400000,2.2627000,50529889,1690408799999,113522826.8140000,410714,25177366,56577234.1502000,0
1690408800000,2.2627000,2.2762000,2.2247000,2.2501000,8687226,1690415999999,19553234.8636000,95135,4181639,9414772.5843000,0
1690416000000,2.2501000,2.3183000,2.2239000,2.2644000,11401884,1690423199999,25907364.5051000,117050,5792614,13167083.7230000,0
1690423200000,2.2644000,2.2970000,2.2411000,2.2622000,7731408,1690430399999,17541715.2344000,83879,3762900,8539821.6077000,0
1690430400000,2.2615000,2.2732000,2.2211000,2.2476000,11005090,1690437599999,24734917.6492000,125734,5286285,11889477.9900000,0
1690437600000,2.2477000,2.2779000,2.1901000,2.2116000,12865103,1690444799999,28603108.3842000,136407,6286072,13983160.1323000,0
1690444800000,2.2116000,2.2482000,2.1532000,2.2333000,15365987,1690451999999,33884620.6164000,147730,7639848,16861291.4247000,0
1690452000000,2.2332000,2.2650000,2.2196000,2.2406000,9112367,1690459199999,20418352.6201000,89328,4528001,10149275.7305000,0
1690459200000,2.2405000,2.2429000,2.1882000,2.2160000,12470754,1690466399999,27687383.9143000,129291,5858413,13010157.9108000,0
1690466400000,2.2158000,2.2177000,2.1231000,2.1849000,17065518,1690473599999,37122976.5332000,162916,8083845,17589713.8898000,0
1690473600000,2.1849000,2.1900000,2.1366000,2.1508000,9850227,1690480799999,21263832.0672000,98802,4546900,9818286.8158000,0
1690480800000,2.1507000,2.1521000,2.0639000,2.1080000,19931262,1690487999999,41809630.7618000,157065,9396148,19711171.1212000,0
1690488000000,2.1079000,2.1197000,2.0858000,2.1070000,6418293,1690495199999,13487242.2746000,64612,3175903,6676084.6132000,0
1690495200000,2.1069000,2.1189000,2.0866000,2.0948000,5529049,1690502399999,11620103.4949000,55421,2916507,6132113.2996000,0
1690502400000,2.0947000,2.1349000,2.0350000,2.1160000,16174991,1690509599999,33677012.3766000,118976,8169008,17007506.8231000,0
1690509600000,2.1160000,2.1397000,2.0756000,2.0992000,7998230,1690516799999,16791234.3144000,70462,3812689,8005581.9556000,0
1690516800000,2.0987000,2.1657000,2.0861000,2.1395000,12481837,1690523999999,26603517.9008000,107195,6575675,14012245.5328000,0
