open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701388800000,0.6066,0.6147,0.6033,0.6129,580766439.4,1701475199999,354423570.62633,477623,286838822.4,175056917.96988,0
1701475200000,0.6128,0.6238,0.6113,0.6213,458540340.5,1701561599999,282663248.06636,366628,229032672.8,141203746.26866,0
1701561600000,0.6213,0.6348,0.6171,0.6236,790454811.2,1701647999999,493339543.91262,645333,383274741.6,239233675.92907,0
1701648000000,0.6235,0.6452,0.5589,0.6250,1526215127.6,1701734399999,949341908.53770,1273975,716771995.6,446149207.71659,0
1701734400000,0.6250,0.6311,0.6066,0.6216,1071335040.9,1701820799999,661959560.30711,831609,527008204.4,325661466.56427,0
1701820800000,0.6216,0.6445,0.6102,0.6405,1565189550.3,1701907199999,982523518.30551,1184700,753890121,473366543.83333,0
1701907200000,0.6405,0.6551,0.6214,0.6438,1506257876.6,1701993599999,963634490.58957,1102964,732511205.6,468655841.89813,0
1701993600000,0.6437,0.6764,0.6378,0.6729,1314664061,1702079999999,862724414.25472,967368,637305052.4,418229470.05219,0
1702080000000,0.6730,0.7015,0.6513,0.6587,1786663200.4,1702166399999,1213366733.79053,1401376,848604077.6,576546914.07703,0
1702166400000,0.6587,0.6719,0.6466,0.6622,843939222.7,1702252799999,558031263.78851,667006,414630402,274219157.18269,0
1702252800000,0.6621,0.6634,0.5850,0.6189,1715104401,1702339199999,1066981242.11562,1380764,804268249.9,500330107.15608,0
1702339200000,0.6189,0.6267,0.6069,0.6197,842287251.1,1702425599999,521576780.69499,626239,408779016.7,253143265.51262,0
1702425600000,0.6197,0.6350,0.5929,0.6277,1106920180.9,1702511999999,677456837.37133,838360,532881999.6,326103656.87254,0
1702512000000,0.6278,0.6383,0.6000,0.6321,985131613.7,1702598399999,616968977.88152,710958,475240694.1,297692074.56240,0
1702598400000,0.6321,0.6449,0.6115,0.6158,911056827.4,1702684799999,572379221.71136,630282,435853096.8,273887771.26487,0
1702684800000,0.6157,0.6263,0.6101,0.6207,459461226.4,1702771199999,285268714.77784,349752,223178150.4,138559383.26311,0
1702771200000,0.6206,0.6244,0.6085,0.6107,693902455.6,1702857599999,428845972.95044,497374,341797638.6,211253348.27304,0
1702857600000,0.6108,0.6145,0.5786,0.6127,1164602336.0,1702943999999,697392553.46430,821243,554907418.5,332339192.60006,0
1702944000000,0.6127,0.6170,0.5973,0.6048,697477075.2,1703030399999,423978918.33234,484055,336775527.0,204722616.25944,0
1703030400000,0.6048,0.6269,0.6011,0.6174,1020204778.2,1703116799999,628496617.64107,708643,507014397.8,312298552.76721,0
1703116800000,0.6174,0.6255,0.6102,0.6246,665329958.4,1703203199999,410778657.98633,476494,326592175.7,201652733.30650,0
1703203200000,0.6247,0.6330,0.6155,0.6251,851897186.6,1703289599999,529768482.06747,601100,413197201.2,256979000.99194,0
1703289600000,0.6251,0.6255,0.6106,0.6200,464854889.1,1703375999999,287117308.34685,330801,221050892.1,136545035.80754,0
1703376000000,0.6200,0.6303,0.6000,0.6129,896834094.0,1703462399999,554295029.86211,637570,423256126.0,261703579.91791,0
1703462400000,0.6129,0.6498,0.6088,0.6467,1280836211.3,1703548799999,812681568.41382,915347,629162363.2,399105969.66072,0
1703548800000,0.6468,0.6475,0.5932,0.6225,1399485930.8,1703635199999,871828338.78296,1006288,663212412.8,413300208.11376,0
1703635200000,0.6224,0.6430,0.6131,0.6349,997611715.8,1703721599999,626974457.46380,741433,485235882.1,304945063.90820,0
1703721600000,0.6348,0.6592,0.6249,0.6352,1340050103.4,1703807999999,856447793.83886,1149886,636156327.0,406716536.45837,0
1703808000000,0.6353,0.6370,0.6112,0.6232,884021095.2,1703894399999,553844888.73622,779716,417336123.9,261511779.93774,0
1703894400000,0.6232,0.6305,0.6161,0.6212,494094669.4,1703980799999,308130172.40251,408372,243226888.0,151695672.17928,0
1703980800000,0.6212,0.6294,0.6050,0.6157,493462752.4,1704067199999,306314115.56546,401808,232086118.8,144095721.50753,0
