open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1704067200000,0.6157,0.6194,0.6116,0.6132,89648501.2,1704081599999,55228895.44454,75067,40851827.1,25169529.00843,0
1704081600000,0.6132,0.6157,0.6087,0.6155,81851200.0,1704095999999,50072462.20697,65437,40191177.7,24587552.03028,0
1704096000000,0.6154,0.6213,0.6148,0.6211,59810681.2,1704110399999,36944205.00033,57026,30157084.1,18628889.55599,0
1704110400000,0.6211,0.6224,0.6189,0.6218,70992664.1,1704124799999,44067350.52696,57651,35961570.9,22322232.25694,0
1704124800000,0.6219,0.6267,0.6202,0.6267,72789472.0,1704139199999,45399715.27661,60828,36201395.3,22579492.56069,0
1704139200000,0.6267,0.6317,0.6261,0.6303,88103473.8,1704153599999,55385273.87596,73042,44046550.4,27689922.46408,0
1704153600000,0.6303,0.6362,0.6296,0.6345,144825250.3,1704167999999,91705471.98172,101921,71320200.8,45160421.54932,0
1704168000000,0.6344,0.6351,0.6284,0.6313,124875597.8,1704182399999,78881263.28696,85151,58369551.8,36865775.33186,0
1704182400000,0.6313,0.6416,0.6300,0.6330,211504284.8,1704196799999,134380448.45260,143652,101530329.8,64515667.23324,0
1704196800000,0.6330,0.6351,0.6223,0.6262,221300021.8,1704211199999,139138124.72971,158011,103159785.9,64868715.59640,0
1704211200000,0.6262,0.6301,0.6217,0.6282,119759535.1,1704225599999,74927442.56257,98320,58582473.0,36652064.24439,0
1704225600000,0.6282,0.6296,0.6240,0.6250,76574599.9,1704239999999,48012431.51529,70684,36466900.8,22864132.18899,0
1704240000000,0.6250,0.6286,0.6231,0.6268,72234574.4,1704254399999,45256352.36661,63090,34199207.9,21429701.43084,0
1704254400000,0.6267,0.6401,0.6267,0.6326,236446757.2,1704268799999,150188049.55323,179874,120517677.1,76553964.98175,0
1704268800000,0.6326,0.6369,0.6102,0.6188,264958759.9,1704283199999,166043110.30926,222984,120549547.5,75576172.04068,0
1704283200000,0.6189,0.6192,0.4812,0.5767,1403303194.1,1704297599999,785192701.10009,1062630,610375958.5,341602740.09934,0
